2021-11-23 10:55:19.491 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$ea6b0aef] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-23 10:55:19.687 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-23 10:55:19.742 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[common.yml] & group[DEFAULT_GROUP]
2021-11-23 10:55:19.792 [main] INFO  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Loading nacos data, dataId: 'sample-cloud-service-order', group: 'DEFAULT_GROUP', data: test: 111
2021-11-23 10:55:19.861 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-23 10:55:19.913 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order-dev.yml] & group[DEFAULT_GROUP]
2021-11-23 10:55:19.914 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='sample-cloud-service-order-dev.yml'}, NacosPropertySource {name='sample-cloud-service-order.yml'}, NacosPropertySource {name='sample-cloud-service-order'}, NacosPropertySource {name='common.yml'}]}
2021-11-23 10:55:19.918 [main] INFO  sample.cloud.order.web.ServiceOrderApplication - The following profiles are active: dev
2021-11-23 10:55:20.302 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
2021-11-23 10:55:20.304 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
2021-11-23 10:55:20.424 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-11-23 10:55:20.506 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=90a433db-1a1e-3688-9c7a-344d52e830d3
2021-11-23 10:55:20.520 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sample.cloud.base.api.service.BaseDataClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
