2021-11-26 10:05:07.827 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$44ec046c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-26 10:05:08.859 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-26 10:05:08.903 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[common.yml] & group[DEFAULT_GROUP]
2021-11-26 10:05:08.965 [main] INFO  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Loading nacos data, dataId: 'sample-cloud-service-order', group: 'DEFAULT_GROUP', data: test: 111
2021-11-26 10:05:08.982 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order.yml] & group[DEFAULT_GROUP]
2021-11-26 10:05:08.996 [main] WARN  c.a.cloud.nacos.client.NacosPropertySourceBuilder - Ignore the empty nacos configuration and get it based on dataId[sample-cloud-service-order-dev.yml] & group[DEFAULT_GROUP]
2021-11-26 10:05:08.996 [main] INFO  o.s.c.b.c.PropertySourceBootstrapConfiguration - Located property source: CompositePropertySource {name='NACOS', propertySources=[NacosPropertySource {name='sample-cloud-service-order-dev.yml'}, NacosPropertySource {name='sample-cloud-service-order.yml'}, NacosPropertySource {name='sample-cloud-service-order'}, NacosPropertySource {name='common.yml'}]}
2021-11-26 10:05:09.000 [main] INFO  sample.cloud.order.web.ServiceOrderApplication - The following profiles are active: dev
2021-11-26 10:05:09.302 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-config' contains invalid characters, please migrate to a valid format.
2021-11-26 10:05:09.305 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'nacos-discovery' contains invalid characters, please migrate to a valid format.
2021-11-26 10:05:09.427 [main] WARN  o.springframework.boot.actuate.endpoint.EndpointId - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2021-11-26 10:05:09.553 [main] INFO  o.springframework.cloud.context.scope.GenericScope - BeanFactory id=8d776f53-2f49-3ba3-a993-9608829d5e3d
2021-11-26 10:05:09.570 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'sample.cloud.base.api.service.BaseDataClient' of type [org.springframework.cloud.openfeign.FeignClientFactoryBean] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-26 10:05:09.610 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$44ec046c] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2021-11-26 10:05:09.732 [main] WARN  io.undertow.websockets.jsr - UT026010: Buffer pool was not set on WebSocketDeploymentInfo, the default pool will be used
2021-11-26 10:05:09.749 [main] INFO  io.undertow.servlet - Initializing Spring embedded WebApplicationContext
2021-11-26 10:05:09.749 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 741 ms
2021-11-26 10:05:10.284 [main] INFO  s.cloud.core.ribbon.config.RibbonConfiguration - 随机负载均衡
2021-11-26 10:05:10.291 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-26 10:05:10.291 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-11-26 10:05:10.296 [main] WARN  com.netflix.config.sources.URLConfigurationSource - No URLs will be polled as dynamic configuration sources.
2021-11-26 10:05:10.296 [main] INFO  com.netflix.config.sources.URLConfigurationSource - To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2021-11-26 10:05:10.380 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2021-11-26 10:05:10.461 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskScheduler - Initializing ExecutorService
2021-11-26 10:05:10.604 [main] INFO  o.s.b.actuate.endpoint.web.EndpointLinksResolver - Exposing 2 endpoint(s) beneath base path '/actuator'
2021-11-26 10:05:10.667 [main] INFO  io.undertow - starting server: Undertow - 2.0.28.Final
2021-11-26 10:05:10.670 [main] INFO  org.xnio - XNIO version 3.3.8.Final
2021-11-26 10:05:10.676 [main] INFO  org.xnio.nio - XNIO NIO Implementation Version 3.3.8.Final
2021-11-26 10:05:10.714 [main] INFO  o.s.b.w.embedded.undertow.UndertowServletWebServer - Undertow started on port(s) 3001 (http) with context path '/service-order'
2021-11-26 10:05:10.850 [main] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - nacos registry, DEFAULT_GROUP sample-cloud-service-order 192.168.0.21:3001 register finished
2021-11-26 10:05:10.854 [main] INFO  sample.cloud.order.web.ServiceOrderApplication - Started ServiceOrderApplication in 3.444 seconds (JVM running for 4.377)
2021-11-26 10:05:11.123 [RMI TCP Connection(5)-127.0.0.1] INFO  io.undertow.servlet - Initializing Spring DispatcherServlet 'dispatcherServlet'
2021-11-26 10:05:11.123 [RMI TCP Connection(5)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2021-11-26 10:05:11.131 [RMI TCP Connection(5)-127.0.0.1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2021-11-26 10:05:33.697 [hystrix-sample-cloud-service-base-1] INFO  com.netflix.loadbalancer.BaseLoadBalancer - Client: sample-cloud-service-base instantiated a LoadBalancer: DynamicServerListLoadBalancer:{NFLoadBalancer:name=sample-cloud-service-base,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:null
2021-11-26 10:05:33.701 [hystrix-sample-cloud-service-base-1] INFO  c.n.loadbalancer.DynamicServerListLoadBalancer - Using serverListUpdater PollingServerListUpdater
2021-11-26 10:05:33.724 [hystrix-sample-cloud-service-base-1] INFO  c.n.loadbalancer.DynamicServerListLoadBalancer - DynamicServerListLoadBalancer for client sample-cloud-service-base initialized: DynamicServerListLoadBalancer:{NFLoadBalancer:name=sample-cloud-service-base,current list of Servers=[],Load balancer stats=Zone stats: {},Server stats: []}ServerList:com.alibaba.cloud.nacos.ribbon.NacosServerList@58984cd0
2021-11-26 10:55:30.053 [Thread-30] INFO  com.netflix.loadbalancer.PollingServerListUpdater - Shutting down the Executor Pool for PollingServerListUpdater
2021-11-26 10:55:30.058 [Thread-15] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registering from Nacos Server now...
2021-11-26 10:55:30.066 [Thread-15] INFO  c.a.cloud.nacos.registry.NacosServiceRegistry - De-registration finished.
2021-11-26 10:55:30.066 [Thread-15] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2021-11-26 10:55:30.074 [Thread-15] INFO  io.undertow.servlet - Destroying Spring FrameworkServlet 'dispatcherServlet'
2021-11-26 10:55:30.075 [Thread-15] INFO  io.undertow - stopping server: Undertow - 2.0.28.Final
